Nodes: 801, Area: 10000, Total Time: 194, Terrain Creation: 14, Node LOS Calculations: 180
Nodes: 801, Area: 10000, Total Time: 194, Terrain Creation: 15, Node LOS Calculations: 179
Nodes: 901, Area: 10000, Total Time: 210, Terrain Creation: 17, Node LOS Calculations: 193
Nodes: 901, Area: 10000, Total Time: 229, Terrain Creation: 16, Node LOS Calculations: 213
Nodes: 901, Area: 10000, Total Time: 209, Terrain Creation: 14, Node LOS Calculations: 195
Nodes: 901, Area: 10000, Total Time: 214, Terrain Creation: 11, Node LOS Calculations: 203
Nodes: 901, Area: 10000, Total Time: 213, Terrain Creation: 11, Node LOS Calculations: 202
Nodes: 901, Area: 10000, Total Time: 199, Terrain Creation: 13, Node LOS Calculations: 186
Nodes: 901, Area: 10000, Total Time: 220, Terrain Creation: 14, Node LOS Calculations: 206
Nodes: 901, Area: 10000, Total Time: 210, Terrain Creation: 12, Node LOS Calculations: 198
Nodes: 901, Area: 10000, Total Time: 210, Terrain Creation: 18, Node LOS Calculations: 192
Nodes: 901, Area: 10000, Total Time: 219, Terrain Creation: 12, Node LOS Calculations: 207
Nodes: 901, Area: 10000, Total Time: 194, Terrain Creation: 13, Node LOS Calculations: 181
Nodes: 901, Area: 10000, Total Time: 210, Terrain Creation: 14, Node LOS Calculations: 196
Nodes: 901, Area: 10000, Total Time: 197, Terrain Creation: 13, Node LOS Calculations: 184
Nodes: 901, Area: 10000, Total Time: 225, Terrain Creation: 13, Node LOS Calculations: 212
Nodes: 901, Area: 10000, Total Time: 209, Terrain Creation: 13, Node LOS Calculations: 196
Nodes: 901, Area: 10000, Total Time: 218, Terrain Creation: 15, Node LOS Calculations: 203
Nodes: 901, Area: 10000, Total Time: 218, Terrain Creation: 14, Node LOS Calculations: 204
Nodes: 901, Area: 10000, Total Time: 197, Terrain Creation: 14, Node LOS Calculations: 183
Nodes: 901, Area: 10000, Total Time: 207, Terrain Creation: 17, Node LOS Calculations: 190
Nodes: 901, Area: 10000, Total Time: 221, Terrain Creation: 22, Node LOS Calculations: 199
Nodes: 1, Area: 100000, Total Time: 110, Terrain Creation: 102, Node LOS Calculations: 8
Nodes: 1, Area: 100000, Total Time: 127, Terrain Creation: 119, Node LOS Calculations: 8
Nodes: 1, Area: 100000, Total Time: 113, Terrain Creation: 104, Node LOS Calculations: 9
Nodes: 1, Area: 100000, Total Time: 99, Terrain Creation: 91, Node LOS Calculations: 8
Nodes: 1, Area: 100000, Total Time: 101, Terrain Creation: 92, Node LOS Calculations: 9
Nodes: 1, Area: 100000, Total Time: 132, Terrain Creation: 116, Node LOS Calculations: 16
Nodes: 1, Area: 100000, Total Time: 110, Terrain Creation: 102, Node LOS Calculations: 8
Nodes: 1, Area: 100000, Total Time: 109, Terrain Creation: 99, Node LOS Calculations: 10
Nodes: 1, Area: 100000, Total Time: 116, Terrain Creation: 107, Node LOS Calculations: 9
Nodes: 1, Area: 100000, Total Time: 126, Terrain Creation: 117, Node LOS Calculations: 9
Nodes: 1, Area: 100000, Total Time: 121, Terrain Creation: 110, Node LOS Calculations: 11
Nodes: 1, Area: 100000, Total Time: 106, Terrain Creation: 98, Node LOS Calculations: 8
Nodes: 1, Area: 100000, Total Time: 121, Terrain Creation: 111, Node LOS Calculations: 10
Nodes: 1, Area: 100000, Total Time: 108, Terrain Creation: 99, Node LOS Calculations: 9
Nodes: 1, Area: 100000, Total Time: 101, Terrain Creation: 91, Node LOS Calculations: 10
Nodes: 1, Area: 100000, Total Time: 112, Terrain Creation: 103, Node LOS Calculations: 9
Nodes: 1, Area: 100000, Total Time: 118, Terrain Creation: 105, Node LOS Calculations: 13
Nodes: 1, Area: 100000, Total Time: 113, Terrain Creation: 104, Node LOS Calculations: 9
Nodes: 1, Area: 100000, Total Time: 103, Terrain Creation: 94, Node LOS Calculations: 9
Nodes: 1, Area: 100000, Total Time: 99, Terrain Creation: 90, Node LOS Calculations: 9
Nodes: 101, Area: 100000, Total Time: 337, Terrain Creation: 102, Node LOS Calculations: 235
Nodes: 101, Area: 100000, Total Time: 337, Terrain Creation: 96, Node LOS Calculations: 241
Nodes: 101, Area: 100000, Total Time: 338, Terrain Creation: 115, Node LOS Calculations: 223
Nodes: 101, Area: 100000, Total Time: 343, Terrain Creation: 107, Node LOS Calculations: 236
Nodes: 101, Area: 100000, Total Time: 323, Terrain Creation: 95, Node LOS Calculations: 228
Nodes: 101, Area: 100000, Total Time: 349, Terrain Creation: 116, Node LOS Calculations: 233
Nodes: 101, Area: 100000, Total Time: 326, Terrain Creation: 99, Node LOS Calculations: 227
Nodes: 101, Area: 100000, Total Time: 313, Terrain Creation: 100, Node LOS Calculations: 213
Nodes: 101, Area: 100000, Total Time: 301, Terrain Creation: 90, Node LOS Calculations: 211
Nodes: 101, Area: 100000, Total Time: 338, Terrain Creation: 101, Node LOS Calculations: 237
Nodes: 101, Area: 100000, Total Time: 315, Terrain Creation: 91, Node LOS Calculations: 224
Nodes: 101, Area: 100000, Total Time: 327, Terrain Creation: 96, Node LOS Calculations: 231
Nodes: 101, Area: 100000, Total Time: 327, Terrain Creation: 96, Node LOS Calculations: 231
Nodes: 101, Area: 100000, Total Time: 323, Terrain Creation: 100, Node LOS Calculations: 223
Nodes: 101, Area: 100000, Total Time: 327, Terrain Creation: 105, Node LOS Calculations: 222
Nodes: 101, Area: 100000, Total Time: 316, Terrain Creation: 95, Node LOS Calculations: 221
Nodes: 101, Area: 100000, Total Time: 334, Terrain Creation: 106, Node LOS Calculations: 228
Nodes: 101, Area: 100000, Total Time: 340, Terrain Creation: 105, Node LOS Calculations: 235
Nodes: 101, Area: 100000, Total Time: 356, Terrain Creation: 105, Node LOS Calculations: 251
Nodes: 101, Area: 100000, Total Time: 321, Terrain Creation: 108, Node LOS Calculations: 213
Nodes: 201, Area: 100000, Total Time: 542, Terrain Creation: 109, Node LOS Calculations: 433
Nodes: 201, Area: 100000, Total Time: 530, Terrain Creation: 92, Node LOS Calculations: 438
Nodes: 201, Area: 100000, Total Time: 549, Terrain Creation: 110, Node LOS Calculations: 439
Nodes: 201, Area: 100000, Total Time: 527, Terrain Creation: 93, Node LOS Calculations: 434
Nodes: 201, Area: 100000, Total Time: 529, Terrain Creation: 96, Node LOS Calculations: 433
Nodes: 201, Area: 100000, Total Time: 538, Terrain Creation: 103, Node LOS Calculations: 435
Nodes: 201, Area: 100000, Total Time: 526, Terrain Creation: 104, Node LOS Calculations: 422
Nodes: 201, Area: 100000, Total Time: 540, Terrain Creation: 101, Node LOS Calculations: 439
Nodes: 201, Area: 100000, Total Time: 547, Terrain Creation: 101, Node LOS Calculations: 446
Nodes: 201, Area: 100000, Total Time: 525, Terrain Creation: 94, Node LOS Calculations: 431
Nodes: 201, Area: 100000, Total Time: 528, Terrain Creation: 99, Node LOS Calculations: 429
Nodes: 201, Area: 100000, Total Time: 541, Terrain Creation: 115, Node LOS Calculations: 426
Nodes: 201, Area: 100000, Total Time: 522, Terrain Creation: 107, Node LOS Calculations: 415
Nodes: 201, Area: 100000, Total Time: 522, Terrain Creation: 98, Node LOS Calculations: 424
Nodes: 201, Area: 100000, Total Time: 529, Terrain Creation: 107, Node LOS Calculations: 422
Nodes: 201, Area: 100000, Total Time: 560, Terrain Creation: 105, Node LOS Calculations: 455
Nodes: 201, Area: 100000, Total Time: 534, Terrain Creation: 96, Node LOS Calculations: 438
Nodes: 201, Area: 100000, Total Time: 551, Terrain Creation: 102, Node LOS Calculations: 449
Nodes: 201, Area: 100000, Total Time: 524, Terrain Creation: 97, Node LOS Calculations: 427
Nodes: 201, Area: 100000, Total Time: 523, Terrain Creation: 104, Node LOS Calculations: 419
Nodes: 301, Area: 100000, Total Time: 740, Terrain Creation: 97, Node LOS Calculations: 643
Nodes: 301, Area: 100000, Total Time: 727, Terrain Creation: 110, Node LOS Calculations: 617
Nodes: 301, Area: 100000, Total Time: 740, Terrain Creation: 97, Node LOS Calculations: 643
Nodes: 301, Area: 100000, Total Time: 739, Terrain Creation: 113, Node LOS Calculations: 626
Nodes: 301, Area: 100000, Total Time: 758, Terrain Creation: 101, Node LOS Calculations: 657
Nodes: 301, Area: 100000, Total Time: 732, Terrain Creation: 110, Node LOS Calculations: 622
Nodes: 301, Area: 100000, Total Time: 749, Terrain Creation: 106, Node LOS Calculations: 643
Nodes: 301, Area: 100000, Total Time: 736, Terrain Creation: 94, Node LOS Calculations: 642
Nodes: 301, Area: 100000, Total Time: 758, Terrain Creation: 112, Node LOS Calculations: 646
Nodes: 301, Area: 100000, Total Time: 733, Terrain Creation: 95, Node LOS Calculations: 638
