N36W113.hgt, ew: 100, sw: 100, (700, 3000), 8.333888388838883%, 7.540858534366347
N36W113.hgt, ew: 100, sw: 100, (700, 3100), 6.814419441944192%, 6.036186372048291
N36W113.hgt, ew: 100, sw: 100, (700, 3200), 2.989837983798383%, 2.711086552302384
N36W113.hgt, ew: 100, sw: 100, (700, 3300), 2.6275107510751083%, 2.426362710042537
N36W113.hgt, ew: 100, sw: 100, (700, 3400), 2.8932783278327836%, 2.7507342675354223
N36W113.hgt, ew: 100, sw: 100, (700, 3500), 4.580661066106609%, 5.408012114440144
N36W113.hgt, ew: 100, sw: 100, (800, 0), 8.270311031103109%, 6.086096071553736
N36W113.hgt, ew: 100, sw: 100, (800, 100), 7.1303200320032%, 6.497486283746619
N36W113.hgt, ew: 100, sw: 100, (800, 200), 26.563458345834572%, 15.828185563689093
N36W113.hgt, ew: 100, sw: 100, (800, 300), 12.036861686168622%, 9.030022809188184
N36W113.hgt, ew: 100, sw: 100, (800, 400), 23.648137813781375%, 16.83063426076194
N36W113.hgt, ew: 100, sw: 100, (800, 500), 4.106560656065606%, 5.289193559401414
N36W113.hgt, ew: 100, sw: 100, (800, 600), 3.1358355835583556%, 4.239130731321546
N36W113.hgt, ew: 100, sw: 100, (800, 700), 3.241737173717372%, 3.6742759394932816
N36W113.hgt, ew: 100, sw: 100, (800, 800), 3.5341674167416732%, 4.730259951623011
