Time 33.65s, nodes: 50, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 30.85s, nodes: 50, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 33.76s, nodes: 50, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 32.46s, nodes: 50, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 31.93s, nodes: 50, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 31.36s, nodes: 50, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 31.68s, nodes: 50, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 38.01s, nodes: 50, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 33.36s, nodes: 50, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 37.6s, nodes: 50, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 32.43s, nodes: 50, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 31.96s, nodes: 50, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 31.53s, nodes: 50, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 31.22s, nodes: 50, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 31.78s, nodes: 50, transmission: 1, radiomedium: UDGM, acv: 89.5129752975%
Time 29.9s, nodes: 50, transmission: 1, radiomedium: UDGM, acv: 89.5129752975%
Time 30.94s, nodes: 50, transmission: 1, radiomedium: UDGM, acv: 89.5129752975%
Time 32.7s, nodes: 50, transmission: 1, radiomedium: UDGM, acv: 89.5129752975%
Time 32.0s, nodes: 50, transmission: 1, radiomedium: UDGM, acv: 89.5129752975%
Time 39.07s, nodes: 50, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 39.7s, nodes: 50, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 38.46s, nodes: 50, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 36.2s, nodes: 50, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 37.11s, nodes: 50, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 31.63s, nodes: 50, transmission: 10000, radiomedium: UDGM, acv: 9.2299309931%
Time 36.53s, nodes: 50, transmission: 10000, radiomedium: UDGM, acv: 9.2299309931%
Time 32.12s, nodes: 50, transmission: 10000, radiomedium: UDGM, acv: 9.2299309931%
Time 35.61s, nodes: 50, transmission: 10000, radiomedium: UDGM, acv: 9.2299309931%
