Time 31.87s, nodes: 50, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 33.09s, nodes: 50, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 31.59s, nodes: 50, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 31.35s, nodes: 50, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 31.5s, nodes: 50, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 31.63s, nodes: 50, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 31.41s, nodes: 50, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 31.92s, nodes: 50, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 34.6s, nodes: 50, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 31.4s, nodes: 50, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 31.68s, nodes: 50, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 31.32s, nodes: 50, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 31.59s, nodes: 50, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 31.83s, nodes: 50, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 31.59s, nodes: 50, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 32.83s, nodes: 50, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 35.3s, nodes: 50, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 35.34s, nodes: 50, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 32.77s, nodes: 50, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 5.56s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
